2021-12-12 13:12:591 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> id: distance]
2021-12-12 13:12:675 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> id: toggle-hp-search]
2021-12-12 13:12:854 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> id: salarymin]
2021-12-12 13:12:892 INFO  HomePage :101 - Entering maximum salary: 50000
2021-12-12 13:12:921 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> id: salarytype]
2021-12-12 13:12:964 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> id: tempperm]
2021-12-12 13:12:18 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> id: hp-search-btn]
2021-12-12 13:12:500 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (951739b78380fa7f369e686cef3d6c56)] -> xpath: //div[@class='search-header__title']]
2021-12-12 13:12:154 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:684 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> xpath: //button[@id='save']]
2021-12-12 13:12:737 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: keywords]
2021-12-12 13:12:844 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: location]
2021-12-12 13:12:896 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: distance]
2021-12-12 13:12:958 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: toggle-hp-search]
2021-12-12 13:12:58 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: salarymin]
2021-12-12 13:12:109 INFO  HomePage :101 - Entering maximum salary: 400
2021-12-12 13:12:169 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: salarytype]
2021-12-12 13:12:214 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: tempperm]
2021-12-12 13:12:269 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> id: hp-search-btn]
2021-12-12 13:12:348 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (ee83e8bf19e95fec05e21ca1eac31eb7)] -> xpath: //div[@class='search-header__title']]
2021-12-12 13:12:02 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:502 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (a1377e5ca75a70efbfaf66cd0dad4d00)] -> xpath: //button[@id='save']]
2021-12-12 13:12:567 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (a1377e5ca75a70efbfaf66cd0dad4d00)] -> id: keywords]
2021-12-12 13:12:681 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (a1377e5ca75a70efbfaf66cd0dad4d00)] -> id: location]
2021-12-12 13:12:736 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (a1377e5ca75a70efbfaf66cd0dad4d00)] -> id: distance]
2021-12-12 13:12:792 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (a1377e5ca75a70efbfaf66cd0dad4d00)] -> id: toggle-hp-search]
2021-12-12 13:12:987 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (a1377e5ca75a70efbfaf66cd0dad4d00)] -> id: salarymin]
2021-12-12 13:12:26 INFO  HomePage :101 - Entering maximum salary: 800
2021-12-12 13:12:73 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (a1377e5ca75a70efbfaf66cd0dad4d00)] -> id: salarytype]
2021-12-12 13:12:115 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (a1377e5ca75a70efbfaf66cd0dad4d00)] -> id: tempperm]
2021-12-12 13:12:166 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (a1377e5ca75a70efbfaf66cd0dad4d00)] -> id: hp-search-btn]
2021-12-12 13:12:285 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (a1377e5ca75a70efbfaf66cd0dad4d00)] -> xpath: //div[@class='search-header__title']]
2021-12-12 13:12:942 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:422 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (a0030d6bb5ef3c483b4d7ec425aa0ef4)] -> xpath: //button[@id='save']]
2021-12-12 13:12:485 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (a0030d6bb5ef3c483b4d7ec425aa0ef4)] -> id: keywords]
2021-12-12 13:12:590 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (a0030d6bb5ef3c483b4d7ec425aa0ef4)] -> id: location]
2021-12-12 13:12:645 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (a0030d6bb5ef3c483b4d7ec425aa0ef4)] -> id: distance]
2021-12-12 13:12:697 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (a0030d6bb5ef3c483b4d7ec425aa0ef4)] -> id: toggle-hp-search]
2021-12-12 13:12:902 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (a0030d6bb5ef3c483b4d7ec425aa0ef4)] -> id: salarymin]
2021-12-12 13:12:943 INFO  HomePage :101 - Entering maximum salary: 75000
2021-12-12 13:12:971 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (a0030d6bb5ef3c483b4d7ec425aa0ef4)] -> id: salarytype]
2021-12-12 13:12:13 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (a0030d6bb5ef3c483b4d7ec425aa0ef4)] -> id: tempperm]
2021-12-12 13:12:66 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (a0030d6bb5ef3c483b4d7ec425aa0ef4)] -> id: hp-search-btn]
2021-12-12 13:12:334 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (a0030d6bb5ef3c483b4d7ec425aa0ef4)] -> xpath: //div[@class='search-header__title']]
2021-12-12 13:12:362 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:717 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (0e15586f99b1281f1c02be437747e65b)] -> xpath: //button[@id='save']]
2021-12-12 13:12:774 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (0e15586f99b1281f1c02be437747e65b)] -> id: keywords]
2021-12-12 13:12:831 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (0e15586f99b1281f1c02be437747e65b)] -> id: location]
2021-12-12 13:12:927 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (0e15586f99b1281f1c02be437747e65b)] -> id: distance]
2021-12-12 13:12:30 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (0e15586f99b1281f1c02be437747e65b)] -> id: toggle-hp-search]
2021-12-12 13:12:208 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (0e15586f99b1281f1c02be437747e65b)] -> id: salarymin]
2021-12-12 13:12:253 INFO  HomePage :101 - Entering maximum salary: 50000
2021-12-12 13:12:284 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (0e15586f99b1281f1c02be437747e65b)] -> id: salarytype]
2021-12-12 13:12:328 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (0e15586f99b1281f1c02be437747e65b)] -> id: tempperm]
2021-12-12 13:12:381 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (0e15586f99b1281f1c02be437747e65b)] -> id: hp-search-btn]
2021-12-12 13:12:13 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (0e15586f99b1281f1c02be437747e65b)] -> xpath: //div[@class='search-header__title']]
2021-12-12 13:12:03 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-12 13:12:429 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (cc597264cdc382eaf4c34e462fa67f7f)] -> xpath: //button[@id='save']]
2021-12-12 13:12:483 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (cc597264cdc382eaf4c34e462fa67f7f)] -> id: keywords]
2021-12-12 13:12:564 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (cc597264cdc382eaf4c34e462fa67f7f)] -> id: location]
2021-12-12 13:12:601 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (cc597264cdc382eaf4c34e462fa67f7f)] -> id: distance]
2021-12-12 13:12:643 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (cc597264cdc382eaf4c34e462fa67f7f)] -> id: toggle-hp-search]
2021-12-12 13:12:818 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (cc597264cdc382eaf4c34e462fa67f7f)] -> id: salarymin]
2021-12-12 13:12:882 INFO  HomePage :101 - Entering maximum salary: 60000
2021-12-12 13:12:909 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (cc597264cdc382eaf4c34e462fa67f7f)] -> id: salarytype]
2021-12-12 13:12:953 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (cc597264cdc382eaf4c34e462fa67f7f)] -> id: tempperm]
2021-12-12 13:12:13 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (cc597264cdc382eaf4c34e462fa67f7f)] -> id: hp-search-btn]
2021-12-12 13:12:238 INFO  ResultPage :37 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (cc597264cdc382eaf4c34e462fa67f7f)] -> xpath: //div[@class='search-header__title']]
2021-12-12 13:12:610 INFO  ManageDriver :30 - Launching Chrome Browser
